,,,,,,,,,,,
,,,,,,,,,,,
,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Yearly Crime Index,596.6,540.1,534.2,536.4,533.6,528.7,514.4,520.7,523.5,,
Yearly Avg High Temp,80,79,82,81,79,78,80,82,82,80,
Yearly Avg Low Temp,62,61,63,64,61,61,63,64,65,63,
Yearly Rain Fall,47.01,42.72,24.57,42.32,38.84,43.72,70.03,60.96,79.69,56.02,
Astros Playoff Rounds,0,0,0,0,0,0,1,0,4,2,
Astros Yearly Attendance,"2,521,076","2,331,490","2,067,016","1,607,733","1,651,883","1,751,829","2,153,585","2,306,623","2,403,671","2,980,549",
Rockets Playoff Rounds,0,0,0,0,1,1,3,1,2,3,2
Texans Playoff Rounds,0,0,2,2,0,0,1,2,0,1,
Texans Average Attendance,70608,71080,71496,71665,71658,71766,71769,71868,71774,71804,
Rockets Total Attendance,699280,677658,663839,506994,683564,743082,747412,737244,695903,716008,
