,Fund Id,Business Area,Fund Center Id,GL Account,GL Description,GL Category,GL Category Description,Revenue or Expenditure,Fiscal Year,Original Budget,Current Budget,Actuals,3Y_Past_Actuals,2Y_Past_Actuals,1Y_Past_Actuals,2Y_1Y_Actuals_Mean,3Y_2Y_1Y_Actuals_Mean,3Y_Past_Original_Budget,2Y_Past_Original_Budget,1Y_Past_Original_Budget,2Y_1Y_Original_Budget_Mean,3Y_2Y_1Y_Original_Budget_Mean,3Y_Past_OA_Difference,2Y_Past_OA_Difference,1Y_Past_OA_Difference,2Y_1Y_OA_Difference_Mean,3Y_2Y_1Y_OA_Difference_Mean
0,1000,3600,3600130009,511015,511015 - Cleaning & Sanitary Supplies,510,510 - Supplies,Expenditures,2016,6500,6500,2134.38,775206.74,818124.99,814234.98,816179.985,816179.985,996855.0,807052.0,851925.0,829488.5,829488.5,-221648.26,11072.98999999999,-37690.02000000002,-13308.515000000014,-13308.515000000014
1,1000,1200,1200020003,503100,503100 - Workers Comp-Civilian Claims,500,500 - Personnel Services,Expenditures,2016,0,0,221.94,2481193.87,2613488.27,2685300.26,2649394.2649999997,2649394.2649999997,2483768.0,2645211.0,2689490.0,2667350.5,2667350.5,-2574.129999999888,-31722.72999999998,-4189.740000000224,-17956.235000000102,-17956.235000000102
2,8001,2800,2800060010,520805,520805 - Education & Training,520,520 - Other Services and Charges,Expenditures,2016,74772,22245,24702,572078.91,664261.82,696326.39,680294.105,680294.105,609372.0,629686.0,666814.0,648250.0,648250.0,-37293.08999999997,34575.81999999995,29512.390000000014,32044.10499999998,32044.10499999998
3,1001,2000,2000070003,520114,520114 - Miscellaneous Support Services,520,520 - Other Services and Charges,Expenditures,2016,7000,7000,9610.7,1847048.53,1965610.9,2006091.05,1985850.975,1985850.975,1570161.0,1815311.0,2058331.0,1936821.0,1936821.0,276887.53,150299.8999999999,-52239.94999999995,49029.97499999998,49029.97499999998
4,8001,2800,2800040006,511025,511025 - Electrical Hardware & Parts,510,510 - Supplies,Expenditures,2016,1188,0,0,450155.6,461680.74,473728.39,467704.565,467704.565,453134.0,466000.0,471052.0,468526.0,468526.0,-2978.4000000000237,-4319.260000000009,2676.390000000014,-821.4349999999977,-821.4349999999977
5,2100,3600,3600110006,502010,502010 - FICA - Civilian,500,500 - Personnel Services,Expenditures,2016,11886,11886,8725.77,794854.94,824825.28,754108.69,789466.985,789466.985,828351.0,874231.0,899942.0,887086.5,887086.5,-33496.060000000056,-49405.71999999997,-145833.31000000006,-97619.51500000001,-97619.51500000001
6,1000,1200,1200050005,502010,502010 - FICA - Civilian,500,500 - Personnel Services,Expenditures,2016,15161,15161,14520.82,67799.74,85205.52,74090.11,79647.815,79647.815,72630.0,43722.0,84090.0,63906.0,63906.0,-4830.259999999995,41483.52,-9999.89,15741.814999999999,15741.814999999999
7,1000,3600,3600150017,500010,500010 - Salary Base Pay - Civilian,500,500 - Personnel Services,Expenditures,2016,60109,60109,53103.68,168790.39,415750.48,394971.23,405360.855,405360.855,170896.0,163660.0,179637.0,171648.5,171648.5,-2105.609999999986,252090.48,215334.23,233712.355,233712.355
8,8001,2800,2800060011,503015,503015 - Basic Life Insurance - Activie Civilian,500,500 - Personnel Services,Expenditures,2016,728,1033,1039.87,200369.36,206512.17,181438.02,193975.095,193975.095,204366.0,206670.0,213109.0,209889.5,209889.5,-3996.640000000014,-157.8299999999872,-31670.98000000001,-15914.404999999999,-15914.404999999999
9,1000,1000,1000010051,503060,503060 - Long Term Disability - Civilian,500,500 - Personnel Services,Expenditures,2016,170,170,169.44,218146.87,231361.88,226756.68,229059.28,229059.28,227478.0,233881.0,246400.0,240140.5,240140.5,-9331.130000000003,-2519.1199999999953,-19643.320000000007,-11081.220000000001,-11081.220000000001
10,9000,8000,8000120001,503060,503060 - Long Term Disability - Civilian,500,500 - Personnel Services,Expenditures,2016,1819,1819,1814.42,190069.39,184872.87,194011.96,189442.41499999998,189442.41499999998,133253.0,127537.0,76508.0,102022.5,102022.5,56816.39000000003,57335.87,117503.96,87419.91500000001,87419.91500000001
11,8300,2000,2000050005,511015,511015 - Cleaning & Sanitary Supplies,510,510 - Supplies,Expenditures,2016,17000,17000,12836.56,1425448.46,1285665.67,1345858.58,1315762.125,1315762.125,1455480.0,1547482.0,1443657.0,1495569.5,1495569.5,-30031.540000000037,-261816.3300000001,-97798.41999999993,-179807.375,-179807.375
12,1000,3600,3600070004,501070,501070 - Pension - Civilian,500,500 - Personnel Services,Expenditures,2016,111378,111378,112122.43,346017.22,420504.98,428487.48,424496.23,424496.23,327825.0,364338.0,448232.0,406285.0,406285.0,18192.21999999997,56166.97999999998,-19744.52000000002,18211.22999999998,18211.22999999998
13,1000,1200,1200030003,520805,520805 - Education & Training,520,520 - Other Services and Charges,Expenditures,2016,6200,6200,1770,5816.75,108588.1,141225.34,124906.72,124906.72,0.0,0.0,0.0,0.0,0.0,5816.75,108588.1,141225.34,124906.72,124906.72
14,1001,2000,2000070005,522430,522430 - Miscellaneous Other Services & Charges,520,520 - Other Services and Charges,Expenditures,2016,400,400,0,82136.98,69635.11,75706.63,72670.87,72670.87,104505.0,111284.0,70608.0,90946.0,90946.0,-22368.020000000004,-41648.89,5098.630000000005,-18275.129999999997,-18275.129999999997
15,2301,2000,2000060002,511040,511040 - Audiovisual Supplies,510,510 - Supplies,Expenditures,2016,300,300,0,35901.34,38864.81,69673.47,54269.14,54269.14,68757.0,39147.0,40332.0,39739.5,39739.5,-32855.66,-282.1900000000023,29341.47,14529.64,14529.64
16,8300,2000,2000040019,511070,511070 - Miscellaneous Office Supplies,510,510 - Supplies,Expenditures,2016,5000,7300,8785.56,596356.91,658501.6,643485.13,650993.365,650993.365,631718.0,625511.0,678647.0,652079.0,652079.0,-35361.08999999997,32990.599999999984,-35161.869999999995,-1085.6350000000057,-1085.6350000000057
17,1000,3400,3400070001,503090,503090 - Workers Compensation - Civilian Admin,500,500 - Personnel Services,Expenditures,2016,73465,73465,61430.41,288297.05,314019.68,342090.33,328055.005,328055.005,307522.0,281355.0,320174.0,300764.5,300764.5,-19224.950000000008,32664.68,21916.330000000016,27290.50500000001,27290.50500000001
18,2301,2000,2000060014,501070,501070 - Pension - Civilian,500,500 - Personnel Services,Expenditures,2016,1268252,1205218.57,1200128.37,37323.08,92735.05,64756.79,78745.92,78745.92,77239.0,146197.0,110334.0,128265.5,128265.5,-39915.92,-53461.95,-45577.21,-49519.58,-49519.58
19,1000,3600,3600090001,520805,520805 - Education & Training,520,520 - Other Services and Charges,Expenditures,2016,1500,1500,3085,82368.44,87341.83,94372.09,90856.95999999999,90856.95999999999,67854.0,89199.0,89386.0,89292.5,89292.5,14514.440000000002,-1857.1699999999985,4986.0899999999965,1564.4599999999991,1564.4599999999991
20,8300,2000,2000040015,511095,511095 - Small Technical & Scientific Equipment,510,510 - Supplies,Expenditures,2016,24900,24900,9507.2,184347.54,247227.95,238714.29,242971.12,242971.12,153002.0,186651.0,251693.0,219172.0,219172.0,31345.540000000008,60576.95000000001,-12978.709999999992,23799.12000000001,23799.12000000001
21,1000,2500,2500020001,503090,503090 - Workers Compensation - Civilian Admin,500,500 - Personnel Services,Expenditures,2016,27727,27727,20147.06,140141.83,181208.93,145531.24,163370.085,163370.085,108534.0,151240.0,205478.0,178359.0,178359.0,31607.829999999984,29968.93,-59946.76000000001,-14988.915000000005,-14988.915000000005
22,1000,3600,3600150052,503060,503060 - Long Term Disability - Civilian,500,500 - Personnel Services,Expenditures,2016,77,77,84.72,106825.64,109076.99,116417.28,112747.13500000001,112747.13500000001,89849.0,131768.0,93519.0,112643.5,112643.5,16976.64,-22691.009999999995,22898.28,103.63500000000204,103.63500000000204
23,2301,2000,2000060011,521605,521605 - Data Services,520,520 - Other Services and Charges,Expenditures,2016,3800,3800,0,73058.68,84780.49,86694.99,85737.74,85737.74,64475.0,85274.0,89704.0,87489.0,87489.0,8583.679999999993,-493.5099999999948,-3009.009999999995,-1751.259999999995,-1751.259999999995
24,1000,2500,2500040001,521510,521510 - Natural Gas,520,520 - Other Services and Charges,Expenditures,2016,528603,467697,356935.34,99210.02,89878.66,73964.83,81921.745,81921.745,88751.0,104123.0,97950.0,101036.5,101036.5,10459.020000000004,-14244.339999999995,-23985.17,-19114.754999999997,-19114.754999999997
25,1000,3600,3600020001,503015,503015 - Basic Life Insurance - Activie Civilian,500,500 - Personnel Services,Expenditures,2016,304,304,308.72,37186.06,65781.62,54307.88,60044.75,60044.75,33092.0,32166.0,77270.0,54718.0,54718.0,4094.0599999999977,33615.619999999995,-22962.12000000001,5326.749999999993,5326.749999999993
26,9000,8000,8000130001,520805,520805 - Education & Training,520,520 - Other Services and Charges,Expenditures,2016,3979,3979,3300.85,152599.06,187764.58,203323.32,195543.95,195543.95,210614.0,155334.0,188977.0,172155.5,172155.5,-58014.94,32430.579999999984,14346.320000000007,23388.449999999997,23388.449999999997
27,1000,1600,1600010001,520905,520905 - Travel - Training Related,520,520 - Other Services and Charges,Expenditures,2016,1950,1950,3263.72,106803.03,115822.2,118096.37,116959.285,116959.285,91704.0,180908.0,121882.0,151395.0,151395.0,15099.03,-65085.8,-3785.6300000000047,-34435.715000000004,-34435.715000000004
28,1000,3600,3600150017,501070,501070 - Pension - Civilian,500,500 - Personnel Services,Expenditures,2016,16446,16446,14486.11,70581.09,73692.96,85552.13,79622.54500000001,79622.54500000001,36327.0,84543.0,91922.0,88232.5,88232.5,34254.09,-10850.039999999994,-6369.869999999995,-8609.954999999994,-8609.954999999994
29,1003,2500,2500050001,520118,520118 - Refuse Disposal,520,520 - Other Services and Charges,Expenditures,2016,2400,2424,0,89926.05,113283.16,116872.14,115077.65,115077.65,161608.0,104203.0,116330.0,110266.5,110266.5,-71681.95,9080.160000000003,542.1399999999994,4811.1500000000015,4811.1500000000015
30,1000,1000,1000010044,503020,503020 - Health Insurance - Active Classified,500,500 - Personnel Services,Expenditures,2016,635531,635531,622136.6,63293.76,387978.27,308546.29,348262.28,348262.28,67399.0,378074.0,398945.0,388509.5,388509.5,-4105.239999999998,9904.270000000019,-90398.71000000002,-40247.22,-40247.22
31,1000,1000,1000010050,500060,500060 - Overtime - Civilian,500,500 - Personnel Services,Expenditures,2016,7200,7200,7981.24,432596.2,437084.25,428450.11,432767.18,432767.18,443466.0,426379.0,463605.0,444992.0,444992.0,-10869.799999999988,10705.25,-35154.890000000014,-12224.820000000007,-12224.820000000007
32,2302,2000,2000010012,520141,520141 - Engineering Services,520,520 - Other Services and Charges,Expenditures,2016,23100,23100,-16242.15,261193.34,383078.74,368036.42,375557.57999999996,375557.57999999996,211043.0,343677.0,410075.0,376876.0,376876.0,50150.34,39401.73999999998,-42038.580000000016,-1318.4200000000164,-1318.4200000000164
33,2100,3600,3600110005,520765,520765 - Membership & Professional Fees,520,520 - Other Services and Charges,Expenditures,2016,200,200,472.91,210064.15,245859.87,190658.95,218259.41,218259.41,250063.0,273711.0,224152.0,248931.5,248931.5,-39998.85000000001,-27851.130000000005,-33493.04999999999,-30672.089999999997,-30672.089999999997
34,1000,3600,3600150001,511090,511090 - Medical & Surgical Supplies,510,510 - Supplies,Expenditures,2016,500,500,440.76,466223.97,512094.94,523347.53,517721.235,517721.235,473118.0,493873.0,515200.0,504536.5,504536.5,-6894.030000000028,18221.94,8147.530000000028,13184.735000000013,13184.735000000013
35,8300,2000,2000050007,520121,520121 - Application Services,520,520 - Other Services and Charges,Expenditures,2016,167200,167200,145002.91,660444.9,713198.95,676003.17,694601.06,694601.06,759162.0,719030.0,768644.0,743837.0,743837.0,-98717.09999999998,-5831.0500000000475,-92640.82999999996,-49235.94,-49235.94
36,1000,1200,1200020003,500060,500060 - Overtime - Civilian,500,500 - Personnel Services,Expenditures,2016,17000,17000,15267.72,229069.4,183682.43,216890.74,200286.585,200286.585,154616.0,272605.0,225038.0,248821.5,248821.5,74453.4,-88922.57,-8147.260000000008,-48534.91500000001,-48534.91500000001
37,1000,3600,3600130005,503060,503060 - Long Term Disability - Civilian,500,500 - Personnel Services,Expenditures,2016,1148,1148,1076.65,70978.8,81013.36,83649.24,82331.3,82331.3,71395.0,80967.0,83705.0,82336.0,82336.0,-416.1999999999971,46.36000000000058,-55.75999999999475,-4.6999999999970825,-4.6999999999970825
38,1000,3800,3800050010,503060,503060 - Long Term Disability - Civilian,500,500 - Personnel Services,Expenditures,2016,1117,1117,1130.79,319241.39,395785.6,377601.61,386693.605,386693.605,363069.0,330634.0,443054.0,386844.0,386844.0,-43827.609999999986,65151.59999999997,-65452.39000000003,-150.39500000002954,-150.39500000002954
