,key
0,"(1000, 3600, 3600130009, 511015, '511015 - Cleaning & Sanitary Supplies', 510, '510 - Supplies', 'Expenditures')"
1,"(1000, 1200, 1200020003, 503100, '503100 - Workers Comp-Civilian Claims', 500, '500 - Personnel Services', 'Expenditures')"
2,"(8001, 2800, 2800060010, 520805, '520805 - Education & Training', 520, '520 - Other Services and Charges', 'Expenditures')"
3,"(1001, 2000, 2000070003, 520114, '520114 - Miscellaneous Support Services', 520, '520 - Other Services and Charges', 'Expenditures')"
4,"(8001, 2800, 2800040006, 511025, '511025 - Electrical Hardware & Parts', 510, '510 - Supplies', 'Expenditures')"
5,"(2100, 3600, 3600110006, 502010, '502010 - FICA - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
6,"(1000, 1200, 1200050005, 502010, '502010 - FICA - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
7,"(1000, 3600, 3600150017, 500010, '500010 - Salary Base Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
8,"(8001, 2800, 2800060011, 503015, '503015 - Basic Life Insurance - Activie Civilian', 500, '500 - Personnel Services', 'Expenditures')"
9,"(1000, 1000, 1000010051, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
10,"(9000, 8000, 8000120001, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
11,"(2422, 3400, 3400010007, 520114, '520114 - Miscellaneous Support Services', 520, '520 - Other Services and Charges', 'Expenditures')"
12,"(8300, 2000, 2000050005, 511015, '511015 - Cleaning & Sanitary Supplies', 510, '510 - Supplies', 'Expenditures')"
13,"(1000, 3600, 3600070004, 501070, '501070 - Pension - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
14,"(1000, 1200, 1200030003, 520805, '520805 - Education & Training', 520, '520 - Other Services and Charges', 'Expenditures')"
15,"(1001, 2000, 2000070005, 522430, '522430 - Miscellaneous Other Services & Charges', 520, '520 - Other Services and Charges', 'Expenditures')"
16,"(2301, 2000, 2000060002, 511040, '511040 - Audiovisual Supplies', 510, '510 - Supplies', 'Expenditures')"
17,"(8300, 2000, 2000040019, 511070, '511070 - Miscellaneous Office Supplies', 510, '510 - Supplies', 'Expenditures')"
18,"(1000, 3400, 3400070001, 503090, '503090 - Workers Compensation - Civilian Admin', 500, '500 - Personnel Services', 'Expenditures')"
19,"(2301, 2000, 2000060014, 501070, '501070 - Pension - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
20,"(1000, 3600, 3600090001, 520805, '520805 - Education & Training', 520, '520 - Other Services and Charges', 'Expenditures')"
21,"(8300, 2000, 2000040015, 511095, '511095 - Small Technical & Scientific Equipment', 510, '510 - Supplies', 'Expenditures')"
22,"(1000, 2500, 2500020001, 503090, '503090 - Workers Compensation - Civilian Admin', 500, '500 - Personnel Services', 'Expenditures')"
23,"(1000, 3600, 3600150052, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
24,"(2301, 2000, 2000060011, 521605, '521605 - Data Services', 520, '520 - Other Services and Charges', 'Expenditures')"
25,"(1000, 2500, 2500040001, 521510, '521510 - Natural Gas', 520, '520 - Other Services and Charges', 'Expenditures')"
26,"(1000, 3600, 3600020001, 503015, '503015 - Basic Life Insurance - Activie Civilian', 500, '500 - Personnel Services', 'Expenditures')"
27,"(9000, 8000, 8000130001, 520805, '520805 - Education & Training', 520, '520 - Other Services and Charges', 'Expenditures')"
28,"(1000, 1600, 1600010001, 520905, '520905 - Travel - Training Related', 520, '520 - Other Services and Charges', 'Expenditures')"
29,"(1000, 3600, 3600150062, 520101, '520101 - Janitorial Services', 520, '520 - Other Services and Charges', 'Expenditures')"
30,"(1000, 3600, 3600150017, 501070, '501070 - Pension - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
31,"(1001, 2000, 2000060007, 521715, '521715 - Office Equipment Rental', 520, '520 - Other Services and Charges', 'Expenditures')"
32,"(1003, 2500, 2500050001, 520118, '520118 - Refuse Disposal', 520, '520 - Other Services and Charges', 'Expenditures')"
33,"(1000, 1000, 1000010044, 503020, '503020 - Health Insurance - Active Classified', 500, '500 - Personnel Services', 'Expenditures')"
34,"(1000, 1000, 1000010050, 500060, '500060 - Overtime - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
35,"(2302, 2000, 2000010012, 520141, '520141 - Engineering Services', 520, '520 - Other Services and Charges', 'Expenditures')"
36,"(2100, 3600, 3600110005, 520765, '520765 - Membership & Professional Fees', 520, '520 - Other Services and Charges', 'Expenditures')"
37,"(1000, 3600, 3600150001, 511090, '511090 - Medical & Surgical Supplies', 510, '510 - Supplies', 'Expenditures')"
38,"(8300, 2000, 2000050007, 520121, '520121 - Application Services', 520, '520 - Other Services and Charges', 'Expenditures')"
39,"(1000, 1200, 1200020003, 500060, '500060 - Overtime - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
40,"(1000, 3600, 3600130005, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
41,"(1000, 3800, 3800050010, 503060, '503060 - Long Term Disability - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
42,"(2302, 2000, 2000090003, 500060, '500060 - Overtime - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
43,"(1000, 1000, 1000010069, 500190, '500190 - Temporary Higher Class Pay', 500, '500 - Personnel Services', 'Expenditures')"
44,"(8001, 2800, 2800060015, 503050, '503050 - Health Insurance - Retiree Civilian', 500, '500 - Personnel Services', 'Expenditures')"
45,"(8300, 2000, 2000050010, 503050, '503050 - Health Insurance - Retiree Civilian', 500, '500 - Personnel Services', 'Expenditures')"
46,"(1000, 5100, 5100020001, 511110, '511110 - Fuel', 510, '510 - Supplies', 'Expenditures')"
