,key
0,"(1000, 3800, 3800050001, 501070, '501070 - Pension - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
1,"(1000, 3800, 3800020009, 511085, '511085 - Drugs & Medical Chemicals', 510, '510 - Supplies', 'Expenditures')"
2,"(1000, 1000, 1000010070, 520765, '520765 - Membership & Professional Fees', 520, '520 - Other Services and Charges', 'Expenditures')"
3,"(1000, 3600, 3600090002, 500010, '500010 - Salary Base Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
4,"(1000, 2100, 2100090003, 500010, '500010 - Salary Base Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
5,"(1000, 3400, 3400050001, 503090, '503090 - Workers Compensation - Civilian Admin', 500, '500 - Personnel Services', 'Expenditures')"
6,"(1000, 3800, 3800060001, 511070, '511070 - Miscellaneous Office Supplies', 510, '510 - Supplies', 'Expenditures')"
7,"(1000, 3400, 3400020001, 500030, '500030 - Salary Part Time - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
8,"(1000, 2100, 2100010002, 520520, '520520 - Printing & Reproduction Services', 520, '520 - Other Services and Charges', 'Expenditures')"
9,"(1000, 1000, 1000010033, 503020, '503020 - Health Insurance - Active Classified', 500, '500 - Personnel Services', 'Expenditures')"
10,"(2301, 2000, 2000060013, 502010, '502010 - FICA - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
11,"(1000, 1000, 1000010010, 503025, '503025 - Basic Life Insurance - Active Classified', 500, '500 - Personnel Services', 'Expenditures')"
12,"(8001, 2800, 2800020002, 503010, '503010 - Health Insurance - Active Civilian', 500, '500 - Personnel Services', 'Expenditures')"
13,"(9000, 8000, 8000150020, 522510, '522510 - Retiree Premiums', 520, '520 - Other Services and Charges', 'Expenditures')"
14,"(1000, 3800, 3800050004, 500110, '500110 - Bilingual Pay - Civilian', 500, '500 - Personnel Services', 'Expenditures')"
15,"(1000, 2100, 2100050002, 511150, '511150 - Miscellaneous Parts & Supplies', 510, '510 - Supplies', 'Expenditures')"
16,"(1001, 2000, 2000070004, 503010, '503010 - Health Insurance - Active Civilian', 500, '500 - Personnel Services', 'Expenditures')"
17,"(8300, 2000, 2000050006, 521405, '521405 - Building Maintenance Services', 520, '520 - Other Services and Charges', 'Expenditures')"
18,"(1000, 3600, 3600020007, 520139, '520139 - Motor Pool Charges', 520, '520 - Other Services and Charges', 'Expenditures')"
